2026-01-25 20:32:42 | INFO | startup | HR Logging system initialized
2026-01-25 20:32:42 | INFO | startup | Environment: DEV
2026-01-25 20:32:42 | INFO | startup | Log level: INFO
2026-01-25 20:32:42 | INFO | startup | Log file: logs/app.log
2026-01-25 23:17:02 | INFO | startup | HR Logging system initialized
2026-01-25 23:17:02 | INFO | startup | Environment: DEV
2026-01-25 23:17:02 | INFO | startup | Log level: INFO
2026-01-25 23:17:02 | INFO | startup | Log file: logs/app.log
2026-01-25 23:21:41 | INFO | startup | HR Logging system initialized
2026-01-25 23:21:41 | INFO | startup | Environment: DEV
2026-01-25 23:21:41 | INFO | startup | Log level: INFO
2026-01-25 23:21:41 | INFO | startup | Log file: logs/app.log
2026-01-25 23:26:46 | INFO | startup | HR Logging system initialized
2026-01-25 23:26:46 | INFO | startup | Environment: DEV
2026-01-25 23:26:46 | INFO | startup | Log level: INFO
2026-01-25 23:26:46 | INFO | startup | Log file: logs/app.log
2026-01-25 23:26:46 | INFO | app.main | ===================================
2026-01-25 23:26:46 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:26:46 | INFO | app.main | ===================================
2026-01-25 23:26:46 | INFO | app.main | Environment : DEV
2026-01-25 23:26:46 | INFO | app.main | Debug       : True
2026-01-25 23:27:04 | ERROR | app.main | Database connection FAILED
2026-01-25 23:28:31 | INFO | app.main | HR SYSTEM SHUTDOWN
2026-01-25 23:28:32 | INFO | startup | HR Logging system initialized
2026-01-25 23:28:32 | INFO | startup | Environment: DEV
2026-01-25 23:28:32 | INFO | startup | Log level: INFO
2026-01-25 23:28:32 | INFO | startup | Log file: logs/app.log
2026-01-25 23:28:33 | INFO | app.main | ===================================
2026-01-25 23:28:33 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:28:33 | INFO | app.main | ===================================
2026-01-25 23:28:33 | INFO | app.main | Environment : DEV
2026-01-25 23:28:33 | INFO | app.main | Debug       : True
2026-01-25 23:28:50 | ERROR | app.main | Database connection FAILED
2026-01-25 23:29:03 | INFO | app.main | HR SYSTEM SHUTDOWN
2026-01-25 23:29:09 | INFO | startup | HR Logging system initialized
2026-01-25 23:29:09 | INFO | startup | Environment: DEV
2026-01-25 23:29:09 | INFO | startup | Log level: INFO
2026-01-25 23:29:09 | INFO | startup | Log file: logs/app.log
2026-01-25 23:29:10 | INFO | app.main | ===================================
2026-01-25 23:29:10 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:29:10 | INFO | app.main | ===================================
2026-01-25 23:29:10 | INFO | app.main | Environment : DEV
2026-01-25 23:29:10 | INFO | app.main | Debug       : True
2026-01-25 23:29:27 | ERROR | app.main | Database connection FAILED
2026-01-25 23:32:39 | INFO | app.modules.hr.router | User [m.sepahkar] requested all users
2026-01-25 23:32:39 | INFO | app.modules.hr.service | Fetching minimal users list
2026-01-25 23:37:42 | INFO | app.modules.hr.router | User [m.sepahkar] requested teams (service=True, eval=True)
2026-01-25 23:37:42 | INFO | app.modules.hr.service | Fetching active service teams
2026-01-25 23:38:31 | INFO | app.modules.hr.router | User [m.sepahkar] requested all users
2026-01-25 23:38:31 | INFO | app.modules.hr.service | Fetching minimal users list
2026-01-25 23:41:49 | INFO | app.main | HR SYSTEM SHUTDOWN
2026-01-25 23:41:51 | INFO | startup | HR Logging system initialized
2026-01-25 23:41:51 | INFO | startup | Environment: DEV
2026-01-25 23:41:51 | INFO | startup | Log level: INFO
2026-01-25 23:41:51 | INFO | startup | Log file: logs/app.log
2026-01-25 23:41:52 | INFO | app.main | ===================================
2026-01-25 23:41:52 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:41:52 | INFO | app.main | ===================================
2026-01-25 23:41:52 | INFO | app.main | Environment : DEV
2026-01-25 23:41:52 | INFO | app.main | Debug       : True
2026-01-25 23:42:09 | ERROR | app.main | Database connection FAILED
2026-01-25 23:42:09 | INFO | app.modules.hr.router | User [m.sepahkar] requested all users
2026-01-25 23:42:09 | INFO | app.modules.hr.service | Fetching minimal users list
2026-01-25 23:45:21 | INFO | app.main | HR SYSTEM SHUTDOWN
2026-01-25 23:45:26 | INFO | startup | HR Logging system initialized
2026-01-25 23:45:26 | INFO | startup | Environment: DEV
2026-01-25 23:45:26 | INFO | startup | Log level: INFO
2026-01-25 23:45:26 | INFO | startup | Log file: logs/app.log
2026-01-25 23:45:26 | INFO | app.main | ===================================
2026-01-25 23:45:26 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:45:26 | INFO | app.main | ===================================
2026-01-25 23:45:26 | INFO | app.main | Environment : DEV
2026-01-25 23:45:26 | INFO | app.main | Debug       : True
2026-01-25 23:45:42 | ERROR | app.main | Database connection FAILED
2026-01-25 23:46:01 | INFO | app.modules.hr.router | User [m.sepahkar] requested all users
2026-01-25 23:46:01 | INFO | app.modules.hr.service | Fetching minimal users list
2026-01-25 23:51:04 | INFO | app.main | HR SYSTEM SHUTDOWN
2026-01-25 23:51:05 | INFO | startup | HR Logging system initialized
2026-01-25 23:51:05 | INFO | startup | Environment: DEV
2026-01-25 23:51:05 | INFO | startup | Log level: INFO
2026-01-25 23:51:05 | INFO | startup | Log file: logs/app.log
2026-01-25 23:51:06 | INFO | app.main | ===================================
2026-01-25 23:51:06 | INFO | app.main |  HR SYSTEM STARTING 
2026-01-25 23:51:06 | INFO | app.main | ===================================
2026-01-25 23:51:06 | INFO | app.main | Environment : DEV
2026-01-25 23:51:06 | INFO | app.main | Debug       : True
2026-01-25 23:51:06 | ERROR | app.main | Database connection FAILED
